window_index,out_batch_id,true_in_batch_id,correct_batch_prob,correct_batch_is_highest,anonymity_set_size,anonymity_set,n_clients,batch_size,batch_prob,sim_timestamp,utc_timestamp
1,0,13,0.5,True,2,"{9, 13}",20,4,"{13: 0.5, 9: 0.5}",0.1419782621307103,1760999489
2,1,18,0.11764705882352941,False,8,"{1, 3, 9, 12, 13, 15, 17, 18}",20,4,"{13: 0.11764705882352941, 9: 0.058823529411764705, 18: 0.11764705882352941, 15: 0.11764705882352941, 3: 0.23529411764705882, 17: 0.11764705882352941, 1: 0.11764705882352941, 12: 0.11764705882352941}",0.7246387087142113,1760999489
2,0,13,0.47058823529411764,False,2,"{9, 13}",20,4,"{13: 0.47058823529411764, 9: 0.5294117647058824}",0.7246387087142113,1760999489
3,2,1,0.09740259740259741,False,9,"{1, 3, 9, 11, 12, 13, 15, 17, 18}",20,4,"{13: 0.09090909090909091, 9: 0.045454545454545456, 18: 0.09740259740259741, 15: 0.19480519480519481, 3: 0.16883116883116883, 17: 0.09740259740259741, 1: 0.09740259740259741, 12: 0.09740259740259741, 11: 0.11038961038961038}",0.763578948595456,1760999490
3,0,13,0.44805194805194803,False,2,"{9, 13}",20,4,"{13: 0.44805194805194803, 9: 0.551948051948052}",0.763578948595456,1760999490
3,1,18,0.12337662337662338,False,8,"{1, 3, 9, 12, 13, 15, 17, 18}",20,4,"{3: 0.22077922077922077, 13: 0.11688311688311688, 1: 0.12337662337662338, 15: 0.11038961038961038, 9: 0.05844155844155844, 18: 0.12337662337662338, 12: 0.12337662337662338, 17: 0.12337662337662338}",0.763578948595456,1760999490
4,3,12,0.08075370121130551,False,11,"{1, 3, 4, 9, 11, 12, 13, 14, 15, 17, 18}",20,4,"{13: 0.07133243606998654, 9: 0.03566621803499327, 18: 0.08075370121130551, 15: 0.1440107671601615, 3: 0.126514131897712, 17: 0.08075370121130551, 1: 0.08075370121130551, 12: 0.08075370121130551, 11: 0.09219380888290714, 4: 0.10363391655450875, 14: 0.10363391655450875}",0.8455276055772329,1760999490
4,0,13,0.4306864064602961,False,2,"{9, 13}",20,4,"{9: 0.5693135935397039, 13: 0.4306864064602961}",0.8455276055772329,1760999490
4,1,18,0.1278600269179004,False,8,"{1, 3, 9, 12, 13, 15, 17, 18}",20,4,"{13: 0.11574697173620457, 1: 0.1278600269179004, 15: 0.10497981157469717, 9: 0.05787348586810229, 18: 0.1278600269179004, 12: 0.1278600269179004, 3: 0.20995962314939434, 17: 0.1278600269179004}",0.8455276055772329,1760999490
4,2,1,0.1009421265141319,False,9,"{1, 3, 9, 11, 12, 13, 15, 17, 18}",20,4,"{3: 0.16150740242261102, 11: 0.11507402422611036, 13: 0.0901749663526245, 1: 0.1009421265141319, 15: 0.18438761776581428, 9: 0.04508748317631225, 18: 0.1009421265141319, 12: 0.1009421265141319, 17: 0.1009421265141319}",0.8455276055772329,1760999490
