window_index,out_batch_id,true_in_batch_id,correct_batch_prob,correct_batch_is_highest,anonymity_set_size,anonymity_set,n_clients,batch_size,batch_prob,sim_timestamp,utc_timestamp
1,0,11,0.4,True,4,"{0, 17, 11, 7}",20,4,"{11: 0.4, 0: 0.2, 17: 0.2, 7: 0.2}",0.4074406859328091,1760096362
2,1,7,0.25,True,6,"{0, 6, 7, 8, 11, 17}",20,4,"{11: 0.1875, 0: 0.125, 17: 0.125, 7: 0.25, 8: 0.15625, 6: 0.15625}",0.5431740421871643,1760096363
2,0,11,0.375,True,4,"{0, 17, 11, 7}",20,4,"{7: 0.1875, 17: 0.21875, 0: 0.21875, 11: 0.375}",0.5431740421871643,1760096363
3,2,0,0.17142857142857143,True,8,"{0, 3, 6, 7, 8, 11, 12, 17}",20,4,"{11: 0.11428571428571428, 0: 0.17142857142857143, 17: 0.08571428571428572, 7: 0.1469387755102041, 8: 0.11020408163265306, 6: 0.11020408163265306, 12: 0.1306122448979592, 3: 0.1306122448979592}",0.6072482746429211,1760096363
3,0,11,0.3673469387755102,True,4,"{0, 17, 11, 7}",20,4,"{7: 0.1836734693877551, 17: 0.23673469387755103, 0: 0.21224489795918366, 11: 0.3673469387755102}",0.6072482746429211,1760096363
3,1,7,0.23673469387755103,True,6,"{0, 6, 7, 8, 11, 17}",20,4,"{11: 0.17959183673469387, 6: 0.1673469387755102, 7: 0.23673469387755103, 17: 0.1306122448979592, 8: 0.1673469387755102, 0: 0.11836734693877551}",0.6072482746429211,1760096363
4,3,17,0.08723958333333333,False,8,"{0, 3, 6, 7, 8, 11, 12, 17}",20,4,"{11: 0.10807291666666667, 0: 0.15885416666666666, 17: 0.08723958333333333, 7: 0.13802083333333334, 8: 0.115234375, 6: 0.115234375, 12: 0.138671875, 3: 0.138671875}",0.6192952300792978,1760096363
4,0,11,0.359375,True,4,"{0, 17, 11, 7}",20,4,"{7: 0.1796875, 17: 0.2552083333333333, 0: 0.20572916666666666, 11: 0.359375}",0.6192952300792978,1760096363
4,1,7,0.22395833333333334,True,6,"{0, 6, 7, 8, 11, 17}",20,4,"{6: 0.17838541666666666, 7: 0.22395833333333334, 17: 0.13541666666666666, 8: 0.17838541666666666, 0: 0.11197916666666667, 11: 0.171875}",0.6192952300792978,1760096363
4,2,0,0.15885416666666666,True,8,"{0, 3, 6, 7, 8, 11, 12, 17}",20,4,"{11: 0.10807291666666667, 6: 0.115234375, 12: 0.138671875, 0: 0.15885416666666666, 7: 0.13802083333333334, 17: 0.08723958333333333, 8: 0.115234375, 3: 0.138671875}",0.6192952300792978,1760096363
5,2,0,0.39228295819935693,True,3,"{0, 11, 7}",20,4,"{11: 0.26688102893890675, 0: 0.39228295819935693, 7: 0.3408360128617363}",0.7718246676313253,1760096363
5,0,11,0.3279742765273312,True,4,"{0, 17, 11, 7}",20,4,"{7: 0.1639871382636656, 17: 0.3279742765273312, 0: 0.18006430868167203, 11: 0.3279742765273312}",0.7718246676313253,1760096363
5,1,7,0.17363344051446947,False,6,"{0, 6, 7, 8, 11, 17}",20,4,"{6: 0.22186495176848875, 7: 0.17363344051446947, 17: 0.15434083601286175, 8: 0.22186495176848875, 0: 0.08681672025723473, 11: 0.1414790996784566}",0.7718246676313253,1760096363
5,3,17,0.0932475884244373,False,8,"{0, 3, 6, 7, 8, 11, 12, 17}",20,4,"{3: 0.17041800643086816, 6: 0.13504823151125403, 12: 0.17041800643086816, 0: 0.10932475884244373, 7: 0.10289389067524116, 17: 0.0932475884244373, 8: 0.13504823151125403, 11: 0.08360128617363344}",0.7718246676313253,1760096363
6,4,6,0.10251153254741159,False,9,"{0, 1, 3, 6, 7, 8, 11, 12, 17}",20,4,"{11: 0.05740645822655049, 0: 0.07380830343413634, 17: 0.1353152229625833, 7: 0.10456176319835982, 8: 0.10251153254741159, 6: 0.10251153254741159, 12: 0.13223987698616094, 3: 0.13223987698616094, 1: 0.15940543311122501}",0.9401166852536958,1760096363
6,0,11,0.33111225012813944,True,4,"{0, 17, 11, 7}",20,4,"{17: 0.32906201947719116, 0: 0.1804202972834444, 7: 0.15940543311122501, 11: 0.33111225012813944}",0.9401166852536958,1760096363
6,1,7,0.15889287544848796,False,6,"{0, 6, 7, 8, 11, 17}",20,4,"{7: 0.15889287544848796, 17: 0.14556637621732446, 8: 0.24038954382368016, 0: 0.0814966683751922, 6: 0.24038954382368016, 11: 0.13326499231163505}",0.9401166852536958,1760096363
6,2,0,0.39876986160943106,True,3,"{0, 11, 7}",20,4,"{11: 0.27114300358790366, 0: 0.39876986160943106, 7: 0.3300871348026653}",0.9401166852536958,1760096363
6,3,17,0.08559712967708867,False,8,"{0, 3, 6, 7, 8, 11, 12, 17}",20,4,"{6: 0.14044079958995387, 12: 0.1824705279343926, 0: 0.09943618657098924, 7: 0.09226037929267042, 17: 0.08559712967708867, 8: 0.14044079958995387, 11: 0.07688364941055868, 3: 0.1824705279343926}",0.9401166852536958,1760096363
7,5,3,0.12821250479478327,False,9,"{0, 1, 3, 6, 7, 8, 11, 12, 17}",20,4,"{11: 0.07307249712313003, 0: 0.06214039125431531, 17: 0.17088607594936708, 7: 0.08688147295742232, 8: 0.09666283084004602, 6: 0.09666283084004602, 12: 0.12821250479478327, 3: 0.12821250479478327, 1: 0.15726889144610665}",1.0667740130331946,1760096363
7,0,11,0.334867663981588,True,4,"{0, 17, 11, 7}",20,4,"{17: 0.3166474875335635, 7: 0.1616800920598389, 0: 0.1868047564250096, 11: 0.334867663981588}",1.0667740130331946,1760096363
7,1,7,0.14652857690832374,False,6,"{0, 6, 7, 8, 11, 17}",20,4,"{7: 0.14652857690832374, 17: 0.12888377445339472, 8: 0.26352128883774456, 6: 0.26352128883774456, 0: 0.07633294975067127, 11: 0.12121212121212122}",1.0667740130331946,1760096363
7,2,0,0.4077483697736862,True,3,"{0, 11, 7}",20,4,"{0: 0.4077483697736862, 7: 0.3258534714230917, 11: 0.2663981588032221}",1.0667740130331946,1760096363
7,3,17,0.07403145377828922,False,8,"{0, 3, 6, 7, 8, 11, 12, 17}",20,4,"{6: 0.1457614115841964, 12: 0.19677790563866512, 7: 0.08285385500575373, 17: 0.07403145377828922, 8: 0.1457614115841964, 0: 0.08975834292289989, 11: 0.0682777138473341, 3: 0.19677790563866512}",1.0667740130331946,1760096363
7,4,6,0.1062523973916379,False,9,"{0, 1, 3, 6, 7, 8, 11, 12, 17}",20,4,"{11: 0.05101649405446874, 6: 0.1062523973916379, 12: 0.1422132719601074, 0: 0.0667433831990794, 17: 0.11622554660529344, 7: 0.09378596087456847, 1: 0.17529727656309935, 8: 0.1062523973916379, 3: 0.1422132719601074}",1.0667740130331946,1760096363
8,1,7,0.25628983562562896,False,4,"{0, 17, 11, 7}",20,4,"{11: 0.3180140892318014, 0: 0.20026836632002684, 17: 0.22542770882254276, 7: 0.25628983562562896}",1.2306985240886303,1760096363
8,0,11,0.2864810466286481,False,4,"{0, 17, 11, 7}",20,4,"{17: 0.3649781952364978, 7: 0.16538074471653808, 11: 0.2864810466286481, 0: 0.183160013418316}",1.2306985240886303,1760096363
8,2,0,0.4126132170412613,True,3,"{0, 11, 7}",20,4,"{7: 0.34686346863468637, 11: 0.24052331432405233, 0: 0.4126132170412613}",1.2306985240886303,1760096363
8,3,17,0.055350553505535055,False,8,"{0, 3, 6, 7, 8, 11, 12, 17}",20,4,"{6: 0.20093928212009393, 12: 0.20093928212009393, 8: 0.20093928212009393, 7: 0.050318685005031866, 17: 0.055350553505535055, 11: 0.03690036900369004, 3: 0.20093928212009393, 0: 0.05367326400536732}",1.2306985240886303,1760096363
8,4,6,0.148440120764844,False,9,"{0, 1, 3, 6, 7, 8, 11, 12, 17}",20,4,"{11: 0.02952029520295203, 6: 0.148440120764844, 12: 0.148440120764844, 17: 0.08856088560885608, 7: 0.060382422006038244, 1: 0.18483730291848374, 8: 0.148440120764844, 3: 0.148440120764844, 0: 0.04293861120429386}",1.2306985240886303,1760096363
8,5,3,0.137370010063737,False,9,"{0, 1, 3, 6, 7, 8, 11, 12, 17}",20,4,"{3: 0.137370010063737, 11: 0.04428044280442804, 6: 0.137370010063737, 12: 0.137370010063737, 17: 0.13284132841328414, 7: 0.060382422006038244, 1: 0.1700771553170077, 8: 0.137370010063737, 0: 0.04293861120429386}",1.2306985240886303,1760096363
9,0,11,0.3480032599837001,True,4,"{0, 17, 11, 7}",20,4,"{11: 0.3480032599837001, 0: 0.22249388753056235, 17: 0.29557185547405596, 7: 0.1339309970116816}",1.2877828816825927,1760096364
9,1,7,0.2678619940233632,False,4,"{0, 17, 11, 7}",20,4,"{11: 0.28769356153219233, 17: 0.25210540613963595, 7: 0.2678619940233632, 0: 0.19233903830480847}",1.2877828816825927,1760096364
9,2,0,0.3993480032599837,True,3,"{0, 11, 7}",20,4,"{7: 0.3732681336593317, 11: 0.2273838630806846, 0: 0.3993480032599837}",1.2877828816825927,1760096364
9,3,17,0.061124694376528114,False,8,"{0, 3, 6, 7, 8, 11, 12, 17}",20,4,"{12: 0.20211898940505296, 17: 0.061124694376528114, 8: 0.20211898940505296, 6: 0.20211898940505296, 3: 0.20211898940505296, 7: 0.0488997555012225, 11: 0.032599837000814993, 0: 0.0488997555012225}",1.2877828816825927,1760096364
9,4,6,0.14832925835370822,False,9,"{0, 1, 3, 6, 7, 8, 11, 12, 17}",20,4,"{6: 0.14832925835370822, 12: 0.14832925835370822, 17: 0.097799511002445, 1: 0.1850040749796251, 8: 0.14832925835370822, 3: 0.14832925835370822, 11: 0.026079869600651995, 7: 0.05867970660146699, 0: 0.039119804400977995}",1.2877828816825927,1760096364
9,5,3,0.1367155664221679,False,9,"{0, 1, 3, 6, 7, 8, 11, 12, 17}",20,4,"{3: 0.1367155664221679, 6: 0.1367155664221679, 12: 0.1367155664221679, 17: 0.1466992665036675, 1: 0.16951915240423798, 8: 0.1367155664221679, 11: 0.039119804400977995, 7: 0.05867970660146699, 0: 0.039119804400977995}",1.2877828816825927,1760096364
10,6,16,0.09649071070480685,False,14,"{0, 1, 3, 5, 6, 7, 8, 9, 11, 12, 14, 16, 17, 21}",20,4,"{11: 0.015098790917133589, 0: 0.022648186375700385, 17: 0.05662046593925096, 7: 0.016986139781775288, 8: 0.049483928044824536, 6: 0.049483928044824536, 12: 0.049483928044824536, 3: 0.09896785608964907, 1: 0.06228251253317606, 14: 0.1929814214096137, 21: 0.09649071070480685, 9: 0.09649071070480685, 5: 0.09649071070480685, 16: 0.09649071070480685}",1.4492767529051918,1760096370
10,0,11,0.3486287230905338,True,4,"{0, 17, 11, 7}",20,4,"{0: 0.22306104393984075, 17: 0.2931485304236705, 7: 0.13516170254595497, 11: 0.3486287230905338}",1.4492767529051918,1760096370
10,1,7,0.27032340509190994,False,4,"{0, 17, 11, 7}",20,4,"{17: 0.24946426816081785, 0: 0.1925685638454733, 7: 0.27032340509190994, 11: 0.2876437629017989}",1.4492767529051918,1760096370
10,2,0,0.39681509879091714,True,3,"{0, 11, 7}",20,4,"{7: 0.37652609849601887, 0: 0.39681509879091714, 11: 0.226658802713064}",1.4492767529051918,1760096370
10,3,17,0.05662046593925096,False,8,"{0, 3, 6, 7, 8, 11, 12, 17}",20,4,"{12: 0.20884694780300797, 8: 0.20884694780300797, 6: 0.20884694780300797, 3: 0.19604836331465644, 17: 0.05662046593925096, 7: 0.04529637275140077, 11: 0.030197581834267177, 0: 0.04529637275140077}",1.4492767529051918,1760096370
10,4,6,0.1528359382679642,False,9,"{0, 1, 3, 6, 7, 8, 11, 12, 17}",20,4,"{6: 0.1528359382679642, 12: 0.1528359382679642, 1: 0.19274550280153346, 8: 0.1528359382679642, 3: 0.14420524918902977, 17: 0.09023886759068121, 11: 0.024063698024181658, 7: 0.05414332055440873, 0: 0.036095547036272484}",1.4492767529051918,1760096370
10,5,3,0.1341197286936007,False,9,"{0, 1, 3, 6, 7, 8, 11, 12, 17}",20,4,"{3: 0.1341197286936007, 6: 0.14200334218028113, 12: 0.14200334218028113, 1: 0.17817752875258036, 8: 0.14200334218028113, 17: 0.1353583013860218, 11: 0.036095547036272484, 7: 0.05414332055440873, 0: 0.036095547036272484}",1.4492767529051918,1760096370
