filename,final_window,final_unique_identified,final_avg_anonymity_size,final_accuracy,avg_unique_identified,avg_anonymity_size,avg_accuracy,total_windows,max_sim_time
12hr-20client-4batch-19381883_1,19.0,0.0,6.8,30.0,0.0,6.359461152882206,49.11027568922306,19,1.8960421777871652
12hr-20client-4batch-19496121_1,10.0,0.0,10.2,30.0,0.0,7.305555555555555,33.65079365079365,10,1.9839579457899268
12hr-20client-4batch-19496122_1,9.0,1.0,7.857142857142857,28.57142857142857,0.2222222222222222,6.565608465608466,19.84126984126984,9,1.2853212620505503
12hr-20client-4batch-19496123_1,9.0,0.0,12.285714285714286,28.57142857142857,0.0,9.098412698412698,52.06349206349206,9,1.691480881071559
