window_index,out_batch_id,true_in_batch_id,correct_batch_prob,correct_batch_is_highest,anonymity_set_size,anonymity_set,n_clients,batch_size,batch_prob,sim_timestamp,utc_timestamp
1,0,0,0.06666666666666667,False,11,"{0, 3, 7, 8, 9, 11, 15, 16, 21, 23, 26}",30,5,"{9: 0.06666666666666667, 23: 0.13333333333333333, 16: 0.06666666666666667, 11: 0.13333333333333333, 8: 0.06666666666666667, 3: 0.06666666666666667, 7: 0.13333333333333333, 0: 0.06666666666666667, 26: 0.13333333333333333, 21: 0.06666666666666667, 15: 0.06666666666666667}",0.5237513144848355,1759889468
2,1,11,0.12871287128712872,True,11,"{0, 3, 7, 8, 9, 11, 15, 16, 21, 23, 26}",30,5,"{9: 0.06930693069306931, 23: 0.12871287128712872, 16: 0.06930693069306931, 11: 0.12871287128712872, 8: 0.06930693069306931, 3: 0.06930693069306931, 7: 0.12871287128712872, 0: 0.06930693069306931, 26: 0.12871287128712872, 21: 0.06930693069306931, 15: 0.06930693069306931}",0.5511579282206748,1759889468
2,0,0,0.06930693069306931,False,11,"{0, 3, 7, 8, 9, 11, 15, 16, 21, 23, 26}",30,5,"{0: 0.06930693069306931, 9: 0.06930693069306931, 26: 0.12871287128712872, 23: 0.12871287128712872, 8: 0.06930693069306931, 21: 0.06930693069306931, 16: 0.06930693069306931, 15: 0.06930693069306931, 11: 0.12871287128712872, 3: 0.06930693069306931, 7: 0.12871287128712872}",0.5511579282206748,1759889468
3,1,11,0.3611111111111111,True,5,"{7, 11, 16, 23, 26}",30,5,"{23: 0.18055555555555555, 16: 0.09722222222222222, 11: 0.3611111111111111, 7: 0.18055555555555555, 26: 0.18055555555555555}",0.6817775069399055,1759889468
3,0,0,0.0763888888888889,False,11,"{0, 3, 7, 8, 9, 11, 15, 16, 21, 23, 26}",30,5,"{0: 0.0763888888888889, 9: 0.0763888888888889, 26: 0.125, 23: 0.125, 8: 0.0763888888888889, 21: 0.0763888888888889, 16: 0.06944444444444445, 15: 0.0763888888888889, 11: 0.09722222222222222, 3: 0.0763888888888889, 7: 0.125}",0.6817775069399055,1759889468
4,2,15,0.054330065359477125,False,15,"{0, 3, 7, 8, 9, 11, 13, 14, 15, 16, 19, 21, 23, 26, 29}",30,5,"{9: 0.054330065359477125, 23: 0.08169934640522876, 16: 0.09803921568627451, 11: 0.09558823529411764, 8: 0.054330065359477125, 3: 0.054330065359477125, 7: 0.08169934640522876, 0: 0.054330065359477125, 26: 0.08169934640522876, 21: 0.054330065359477125, 15: 0.054330065359477125, 14: 0.058823529411764705, 13: 0.058823529411764705, 29: 0.058823529411764705, 19: 0.058823529411764705}",0.7024500011136636,1759889468
4,0,0,0.07924836601307189,False,11,"{0, 3, 7, 8, 9, 11, 15, 16, 21, 23, 26}",30,5,"{0: 0.07924836601307189, 9: 0.07924836601307189, 26: 0.12173202614379085, 23: 0.12173202614379085, 8: 0.07924836601307189, 21: 0.07924836601307189, 16: 0.06781045751633986, 15: 0.07924836601307189, 11: 0.0915032679738562, 3: 0.07924836601307189, 7: 0.12173202614379085}",0.7024500011136636,1759889468
4,1,11,0.34967320261437906,True,5,"{7, 11, 16, 23, 26}",30,5,"{7: 0.18382352941176472, 16: 0.0988562091503268, 26: 0.18382352941176472, 23: 0.18382352941176472, 11: 0.34967320261437906}",0.7024500011136636,1759889468
5,3,8,0.05006018551299299,False,15,"{0, 3, 7, 8, 9, 11, 13, 14, 15, 16, 19, 21, 23, 26, 29}",30,5,"{9: 0.05006018551299299, 23: 0.07080648587410607, 16: 0.08496778304892728, 11: 0.08029455498123628, 8: 0.05006018551299299, 3: 0.05006018551299299, 7: 0.07080648587410607, 0: 0.10012037102598598, 26: 0.07080648587410607, 21: 0.05006018551299299, 15: 0.05006018551299299, 14: 0.05437938115131346, 13: 0.05437938115131346, 29: 0.05437938115131346, 19: 0.10875876230262692}",0.7358503769373741,1759889468
5,0,0,0.07781632797564257,False,11,"{0, 3, 7, 8, 9, 11, 15, 16, 21, 23, 26}",30,5,"{0: 0.07781632797564257, 9: 0.08213552361396304, 26: 0.11923812221199462, 23: 0.11923812221199462, 8: 0.08213552361396304, 21: 0.08213552361396304, 15: 0.08213552361396304, 11: 0.08723359059689867, 3: 0.08213552361396304, 7: 0.11923812221199462, 16: 0.0665580967216597}",0.7358503769373741,1759889468
5,1,11,0.34062640137836625,True,5,"{7, 11, 16, 23, 26}",30,5,"{7: 0.18640987514456325, 26: 0.18640987514456325, 23: 0.18640987514456325, 11: 0.34062640137836625, 16: 0.10014397318794402}",0.7358503769373741,1759889468
5,2,15,0.05607873681229201,False,15,"{0, 3, 7, 8, 9, 11, 13, 14, 15, 16, 19, 21, 23, 26, 29}",30,5,"{16: 0.09582477754962354, 9: 0.05607873681229201, 3: 0.05607873681229201, 23: 0.07982251174207558, 29: 0.06091718001368925, 7: 0.07982251174207558, 8: 0.05607873681229201, 15: 0.05607873681229201, 11: 0.09084472137647809, 26: 0.07982251174207558, 0: 0.05319927305341169, 21: 0.05607873681229201, 19: 0.05751846869173216, 14: 0.06091718001368925, 13: 0.06091718001368925}",0.7358503769373741,1759889468
6,4,23,0.062292382385508646,False,16,"{0, 3, 7, 8, 9, 11, 13, 14, 15, 16, 19, 20, 21, 23, 26, 29}",30,5,"{9: 0.04649823360251798, 23: 0.062292382385508646, 16: 0.07475518528583461, 11: 0.06891180991859565, 8: 0.04649823360251798, 3: 0.04649823360251798, 7: 0.062292382385508646, 0: 0.13212896526828555, 26: 0.062292382385508646, 21: 0.04649823360251798, 15: 0.04649823360251798, 14: 0.05067864004293975, 13: 0.05067864004293975, 29: 0.05067864004293975, 19: 0.09551660873315568, 20: 0.05728319549619342}",0.8540876441821041,1759889474
6,0,0,0.07300433588727505,False,11,"{0, 3, 7, 8, 9, 11, 15, 16, 21, 23, 26}",30,5,"{0: 0.07300433588727505, 26: 0.11732989382687006, 23: 0.11732989382687006, 8: 0.0850953367917679, 21: 0.0850953367917679, 15: 0.0850953367917679, 11: 0.08392720252122314, 3: 0.0850953367917679, 7: 0.11732989382687006, 9: 0.0850953367917679, 16: 0.06560209615205215}",0.8540876441821041,1759889474
6,1,11,0.3331724444696819,True,5,"{7, 11, 16, 23, 26}",30,5,"{7: 0.18854011608334315, 26: 0.18854011608334315, 23: 0.18854011608334315, 11: 0.3331724444696819, 16: 0.10120720728028867}",0.8540876441821041,1759889474
6,2,15,0.05780371829035978,False,15,"{0, 3, 7, 8, 9, 11, 13, 14, 15, 16, 19, 21, 23, 26, 29}",30,5,"{9: 0.05780371829035978, 3: 0.05780371829035978, 23: 0.07825147605392346, 29: 0.06300353820299308, 7: 0.07825147605392346, 8: 0.05780371829035978, 15: 0.05780371829035978, 11: 0.08703411519913039, 26: 0.07825147605392346, 0: 0.04977820320939483, 21: 0.05780371829035978, 19: 0.05642872690940605, 14: 0.06300353820299308, 16: 0.09397532045952023, 13: 0.06300353820299308}",0.8540876441821041,1759889474
6,3,8,0.05182108617559059,False,15,"{0, 3, 7, 8, 9, 11, 13, 14, 15, 16, 19, 21, 23, 26, 29}",30,5,"{16: 0.08377036967934444, 9: 0.05182108617559059, 3: 0.05182108617559059, 23: 0.06977979857795877, 29: 0.05648145519245147, 7: 0.06977979857795877, 8: 0.05182108617559059, 15: 0.05182108617559059, 11: 0.07739700746713608, 26: 0.06977979857795877, 0: 0.09382119163215669, 19: 0.10712223903217913, 21: 0.05182108617559059, 14: 0.05648145519245147, 13: 0.05648145519245147}",0.8540876441821041,1759889474
