window_index,out_batch_id,true_in_batch_id,correct_batch_prob,correct_batch_is_highest,anonymity_set_size,anonymity_set,n_clients,batch_size,batch_prob,sim_timestamp,utc_timestamp
1,0,5,0.5,True,2,"{1, 5}",20,3,"{5: 0.5, 1: 0.5}",0.18298970723862168,1759932215
2,1,1,0.058823529411764705,False,9,"{1, 2, 3, 5, 6, 8, 10, 11, 12}",20,3,"{5: 0.11764705882352941, 1: 0.058823529411764705, 3: 0.11764705882352941, 2: 0.11764705882352941, 12: 0.11764705882352941, 6: 0.11764705882352941, 10: 0.11764705882352941, 11: 0.11764705882352941, 8: 0.11764705882352941}",0.49949551542410936,1759932215
2,0,5,0.47058823529411764,False,2,"{1, 5}",20,3,"{1: 0.5294117647058824, 5: 0.47058823529411764}",0.49949551542410936,1759932215
3,2,3,0.04966887417218543,False,12,"{1, 2, 3, 5, 6, 8, 10, 11, 12, 15, 17, 18}",20,3,"{5: 0.0695364238410596, 1: 0.046357615894039736, 3: 0.04966887417218543, 2: 0.04966887417218543, 12: 0.09933774834437085, 6: 0.09933774834437085, 10: 0.04966887417218543, 11: 0.1490066225165563, 8: 0.04966887417218543, 17: 0.16887417218543047, 18: 0.11258278145695365, 15: 0.056291390728476824}",0.8960112746150604,1759932215
3,0,5,0.4602649006622517,False,2,"{1, 5}",20,3,"{1: 0.5397350993377483, 5: 0.4602649006622517}",0.8960112746150604,1759932215
3,1,1,0.056291390728476824,False,9,"{1, 2, 3, 5, 6, 8, 10, 11, 12}",20,3,"{5: 0.11258278145695365, 1: 0.056291390728476824, 8: 0.12251655629139073, 2: 0.12251655629139073, 6: 0.11589403973509933, 12: 0.11589403973509933, 10: 0.12251655629139073, 11: 0.10927152317880795, 3: 0.12251655629139073}",0.8960112746150604,1759932215
4,3,2,0.04698364968990791,False,13,"{1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 15, 17, 18}",20,3,"{5: 0.06089080999812065, 1: 0.040593873332080435, 3: 0.04698364968990791, 2: 0.04698364968990791, 12: 0.0890809998120654, 6: 0.0890809998120654, 10: 0.04698364968990791, 11: 0.12629205036647248, 8: 0.04698364968990791, 17: 0.14151475286600262, 18: 0.10073294493516256, 15: 0.10712272129299004, 7: 0.05675624882540876}",0.9103131466543251,1759932215
4,0,5,0.45141890622063524,False,2,"{1, 5}",20,3,"{1: 0.5485810937793648, 5: 0.45141890622063524}",0.9103131466543251,1759932215
4,1,1,0.053937229844014285,False,9,"{1, 2, 3, 5, 6, 8, 10, 11, 12}",20,3,"{5: 0.10787445968802857, 1: 0.053937229844014285, 8: 0.12704378876151098, 2: 0.12704378876151098, 6: 0.11388836684833678, 12: 0.11388836684833678, 11: 0.10223642172523961, 3: 0.12704378876151098, 10: 0.12704378876151098}",0.9103131466543251,1759932215
4,2,3,0.05262168765269686,False,12,"{1, 2, 3, 5, 6, 8, 10, 11, 12, 15, 17, 18}",20,3,"{10: 0.05262168765269686, 11: 0.1432061642548393, 18: 0.11351249765081751, 5: 0.06878406314602518, 2: 0.05262168765269686, 15: 0.05675624882540876, 1: 0.04585604209735012, 3: 0.05262168765269686, 12: 0.1003570757376433, 8: 0.05262168765269686, 6: 0.1003570757376433, 17: 0.16068408193948505}",0.9103131466543251,1759932215
